	Adult_FG_1	Adult_FG_2	Adult_FG_3	Adult_OV_1	Adult_OV_2	Adult_OV_3
FUN_000342-T1	0	0	0	0	0	0
FUN_000343-T1	0	0	0	0	0	0
FUN_000344-T1	0	0	0	0	0	0
FUN_000345-T1	0	0	2	0	0	0
FUN_000346-T1	0	3	0	0	0	0
FUN_000347-T1	2	1	0	0	3	2
FUN_000348-T1	0	0	0	0	0	0
FUN_000349-T1	0	0	0	0	0	0
FUN_000350-T1	243	298	233	85	197	89
FUN_000351-T1	45	72	34	22	96	38
FUN_000352-T1	395	584	286	285	714	281
FUN_000353-T1	35	133	66	105	291	82
FUN_000354-T1	130	326	58	144	628	124
FUN_000355-T1	12	42	39	44	59	31
FUN_000356-T1	0	0	0	0	0	0
FUN_000357-T1	0	0	0	0	0	0
FUN_000358-T1	95	356	93	97	211	73
FUN_000359-T1	1	23	10	10	37	3
FUN_000360-T1	0	0	0	1	1	0
FUN_000361-T1	0	0	0	0	0	0
FUN_000362-T1	0	0	0	0	0	0
FUN_000363-T1	1	0	0	3	1	3
FUN_000364-T1	0	0	0	0	0	0
FUN_000365-T1	287	519	135	76	172	52
FUN_000366-T1	14	39	13	17	46	14
FUN_000367-T1	0	2	0	0	0	0
FUN_000368-T1	0	10	4	8	20	7
FUN_000369-T1	53	104	46	45	97	33
FUN_000370-T1	14	51	15	20	93	30
FUN_000371-T1	14	53	5	21	70	12
FUN_000372-T1	144	382	117	214	721	203
FUN_000373-T1	47	148	35	101	243	76
FUN_000374-T1	272	1041	219	15	63	48
FUN_000375-T1	0	0	0	0	0	0
FUN_000376-T1	3	6	0	6	71	13
FUN_000377-T1	0	0	0	0	0	0
FUN_000378-T1	0	0	0	0	0	0
FUN_000379-T1	0	0	0	0	0	0
FUN_000380-T1	0	2	2	3	9	3
FUN_000381-T1	0	0	0	0	0	0
FUN_000382-T1	68	742	128	0	0	2
FUN_000383-T1	0	0	0	0	0	0
FUN_000384-T1	0	0	0	0	0	0
FUN_000385-T1	0	0	0	0	0	0
FUN_000386-T1	0	0	0	0	0	0
FUN_000387-T1	0	0	0	0	0	0
FUN_000388-T1	0	0	0	0	0	0
FUN_000389-T1	0	0	0	0	0	0
FUN_000390-T1	0	0	0	0	0	0
FUN_000391-T1	0	0	0	0	0	0
FUN_000392-T1	0	0	0	0	0	0
FUN_000393-T1	0	0	0	0	0	0
FUN_000394-T1	0	0	0	0	0	0
FUN_000395-T1	0	0	0	0	0	0
FUN_000396-T1	2	0	0	0	0	0
FUN_000397-T1	0	0	0	0	0	0
FUN_000398-T1	0	0	0	0	0	0
FUN_000399-T1	0	1	0	0	0	0
FUN_000400-T1	0	0	0	0	0	0
FUN_000401-T1	0	0	0	0	0	0
FUN_000402-T1	0	0	0	0	0	0
FUN_000403-T1	0	3	0	0	0	0
FUN_000404-T1	6	11	5	7	19	6
FUN_000405-T1	0	0	0	0	0	0
FUN_000406-T1	2	0	0	0	0	0
FUN_000407-T1	0	0	0	0	0	0
FUN_000408-T1	2	8	1	0	1	0
FUN_000409-T1	0	0	0	0	0	0
FUN_000410-T1	0	0	0	0	0	0
FUN_000411-T1	1	1	2	0	1	0
FUN_000412-T1	1	1	0	0	0	0
FUN_000413-T1	0	0	0	0	0	0
